Neighbourhood,Indicator,Year,Forecast,MAE,RMSE,Model
Spaarndammer- en Zeeheldenbuurt,Population| Age group |0 tot 15 year,2028,1345.1353966689517,49.99999925494194,49.99999925494194,EXP
Spaarndammerbuurt Midden,Population| Age group |0 tot 15 year,2026,165.00000059604645,5.000000670552254,5.000000670552254,EXP
Spaarndammerbuurt Midden,Population| Age group |0 tot 15 year,2027,165.00000059604645,5.000000670552254,5.000000670552254,EXP
Spaarndammerbuurt Midden,Population| Age group |0 tot 15 year,2028,165.00000059604645,5.000000670552254,5.000000670552254,EXP
Spaarndammerbuurt Noordoost,Population| Age group |0 tot 15 year,2026,319.99999955296516,1.876744186046551,1.876744186046551,EXP
Spaarndammerbuurt Noordoost,Population| Age group |0 tot 15 year,2027,319.99999955296516,1.876744186046551,1.876744186046551,EXP
Spaarndammerbuurt Noordoost,Population| Age group |0 tot 15 year,2028,319.99999955296516,1.876744186046551,1.876744186046551,EXP
Spaarndammerbuurt Noordwest,Population| Age group |0 tot 15 year,2026,245.0,0.0,0.0,EXP
Spaarndammerbuurt Noordwest,Population| Age group |0 tot 15 year,2027,245.0,0.0,0.0,EXP
Spaarndammerbuurt Noordwest,Population| Age group |0 tot 15 year,2028,245.0,0.0,0.0,EXP
Spaarndammerbuurt Zuidoost,Population| Age group |0 tot 15 year,2026,120.0000000745058,5.0,5.0,EXP
Spaarndammerbuurt Zuidoost,Population| Age group |0 tot 15 year,2027,120.0000000745058,5.0,5.0,EXP
Spaarndammerbuurt Zuidoost,Population| Age group |0 tot 15 year,2028,120.0000000745058,5.0,5.0,EXP
Spaarndammerbuurt Zuidwest,Population| Age group |0 tot 15 year,2026,200.0,0.0,0.0,EXP
Spaarndammerbuurt Zuidwest,Population| Age group |0 tot 15 year,2027,200.0,0.0,0.0,EXP
Spaarndammerbuurt Zuidwest,Population| Age group |0 tot 15 year,2028,200.0,0.0,0.0,EXP
Spiegelbuurt,Population| Age group |0 tot 15 year,2026,74.99999982908658,6.666666716337204,8.16496580927726,EXP
Spiegelbuurt,Population| Age group |0 tot 15 year,2027,74.99999982908658,6.666666716337204,8.16496580927726,EXP
Spiegelbuurt,Population| Age group |0 tot 15 year,2028,74.99999982908658,6.666666716337204,8.16496580927726,EXP
Sporenburg,Population| Age group |0 tot 15 year,2026,473.0,39.444444444444436,59.64788655409654,Drift
Sporenburg,Population| Age group |0 tot 15 year,2027,471.0,39.444444444444436,59.64788655409654,Drift
Sporenburg,Population| Age group |0 tot 15 year,2028,469.0,39.444444444444436,59.64788655409654,Drift
Sportpark Middenmeer Noord,Population| Age group |0 tot 15 year,2026,5.0,8.881784197001252e-16,8.881784197001252e-16,EXP
Sportpark Middenmeer Noord,Population| Age group |0 tot 15 year,2027,5.0,8.881784197001252e-16,8.881784197001252e-16,EXP
Sportpark Middenmeer Noord,Population| Age group |0 tot 15 year,2028,5.0,8.881784197001252e-16,8.881784197001252e-16,EXP
Sportpark Middenmeer Zuid,Population| Age group |0 tot 15 year,2026,25.00000014901161,0.7406960159595322,0.7406960159595322,EXP
Sportpark Middenmeer Zuid,Population| Age group |0 tot 15 year,2027,25.00000014901161,0.7406960159595322,0.7406960159595322,EXP
Sportpark Middenmeer Zuid,Population| Age group |0 tot 15 year,2028,25.00000014901161,0.7406960159595322,0.7406960159595322,EXP
Spuistraat Noord,Population| Age group |0 tot 15 year,2026,25.0,3.552713678800501e-15,3.552713678800501e-15,EXP
Spuistraat Noord,Population| Age group |0 tot 15 year,2027,25.0,3.552713678800501e-15,3.552713678800501e-15,EXP
Spuistraat Noord,Population| Age group |0 tot 15 year,2028,25.0,3.552713678800501e-15,3.552713678800501e-15,EXP
Spuistraat Zuid,Population| Age group |0 tot 15 year,2026,35.0,0.0,0.0,EXP
Spuistraat Zuid,Population| Age group |0 tot 15 year,2027,35.0,0.0,0.0,EXP
Spuistraat Zuid,Population| Age group |0 tot 15 year,2028,35.0,0.0,0.0,EXP
Staalmanbuurt,Population| Age group |0 tot 15 year,2026,694.9999999254942,8.333333258827528,8.660253980489792,EXP
Staalmanbuurt,Population| Age group |0 tot 15 year,2027,694.9999999254942,8.333333258827528,8.660253980489792,EXP
Staalmanbuurt,Population| Age group |0 tot 15 year,2028,694.9999999254942,8.333333258827528,8.660253980489792,EXP
Staatsliedenbuurt,Population| Age group |0 tot 15 year,2026,1370.0,104.30555555555559,162.96319312904623,Drift
Staatsliedenbuurt,Population| Age group |0 tot 15 year,2027,1355.0,104.30555555555559,162.96319312904623,Drift
Staatsliedenbuurt,Population| Age group |0 tot 15 year,2028,1340.0,104.30555555555559,162.96319312904623,Drift
Staatsliedenbuurt Noordoost,Population| Age group |0 tot 15 year,2026,95.0,0.0,0.0,EXP
Staatsliedenbuurt Noordoost,Population| Age group |0 tot 15 year,2027,95.0,0.0,0.0,EXP
Staatsliedenbuurt Noordoost,Population| Age group |0 tot 15 year,2028,95.0,0.0,0.0,EXP
Stadionbuurt,Population| Age group |0 tot 15 year,2026,1548.0,31.666666666666668,45.32291546962382,Drift
Stadionbuurt,Population| Age group |0 tot 15 year,2027,1546.0,31.666666666666668,45.32291546962382,Drift
Stadionbuurt,Population| Age group |0 tot 15 year,2028,1544.0,31.666666666666668,45.32291546962382,Drift
Steigereiland Noord,Population| Age group |0 tot 15 year,2026,362.5553393166539,14.999999776482582,14.999999776482582,EXP
Steigereiland Noord,Population| Age group |0 tot 15 year,2027,362.5553393166539,14.999999776482582,14.999999776482582,EXP
Steigereiland Noord,Population| Age group |0 tot 15 year,2028,362.5553393166539,14.999999776482582,14.999999776482582,EXP
Steigereiland Zuid,Population| Age group |0 tot 15 year,2026,655.4004321830852,54.999999180436134,54.999999180436134,EXP
Steigereiland Zuid,Population| Age group |0 tot 15 year,2027,655.4004321830852,54.999999180436134,54.999999180436134,EXP
Steigereiland Zuid,Population| Age group |0 tot 15 year,2028,655.4004321830852,54.999999180436134,54.999999180436134,EXP
Surinamepleinbuurt,Population| Age group |0 tot 15 year,2026,204.9999999254942,5.975969066753881,8.823692419367603,EXP
Surinamepleinbuurt,Population| Age group |0 tot 15 year,2027,204.9999999254942,5.975969066753881,8.823692419367603,EXP
Surinamepleinbuurt,Population| Age group |0 tot 15 year,2028,204.9999999254942,5.975969066753881,8.823692419367603,EXP
